PartitionKey,RowKey,status,status@type,total_repos,total_repos@type,completed_repos,completed_repos@type,bundle_fingerprint,bundle_fingerprint@type,force_refresh,force_refresh@type,model_status,model_status@type,model_fingerprint,model_fingerprint@type,created_at,created_at@type,updated_at,updated_at@type,synced_repos,synced_repos@type,queued_repos,queued_repos@type,expected_repos,expected_repos@type
yungryce,284dd2b7-aaf2-4f30-9de7-4ad2062913ea,queued,String,43,Int32,0,Int32,,String,true,Boolean,,String,,String,2025-12-10T17:33:34.570690+00:00,String,2025-12-10T17:33:36.227825+00:00,String,[],String,"[""AirBnB_clone"",""AirBnB_clone_v2"",""AirBnB_clone_v3"",""AirBnB_clone_v4"",""alx-backend"",""alx-backend-javascript"",""alx-backend-python"",""alx-backend-storage"",""alx-backend-user-data"",""alx-files_manager"",""alx-higher_level_programming"",""alx-interview"",""alx-low_level_programming"",""alx-system_engineering-devops"",""alx-zero_day"",""authentication-FA"",""azure_vmss_cluster"",""backend_assesment"",""binary_trees"",""Bincom-Assessment"",""cloudfolio"",""collabHub"",""collabHub-Laravel"",""Email_FA"",""Fix_My_Code_Challenge"",""Frontend_Apps"",""imageProcessor-FA"",""monty"",""porfolio-php"",""portfolio"",""portfolio-api"",""portfolio-old"",""printf"",""PY4E"",""Python_Apps"",""recaptcha_FA"",""RSA-Factoring-Challenge"",""simple_shell"",""socket_app"",""sorting_algorithms"",""startstopvm"",""the-flex"",""yungryce""]",String,"[""AirBnB_clone"",""AirBnB_clone_v2"",""AirBnB_clone_v3"",""AirBnB_clone_v4"",""alx-backend"",""alx-backend-javascript"",""alx-backend-python"",""alx-backend-storage"",""alx-backend-user-data"",""alx-files_manager"",""alx-higher_level_programming"",""alx-interview"",""alx-low_level_programming"",""alx-system_engineering-devops"",""alx-zero_day"",""authentication-FA"",""azure_vmss_cluster"",""backend_assesment"",""binary_trees"",""Bincom-Assessment"",""cloudfolio"",""collabHub"",""collabHub-Laravel"",""Email_FA"",""Fix_My_Code_Challenge"",""Frontend_Apps"",""imageProcessor-FA"",""monty"",""porfolio-php"",""portfolio"",""portfolio-api"",""portfolio-old"",""printf"",""PY4E"",""Python_Apps"",""recaptcha_FA"",""RSA-Factoring-Challenge"",""simple_shell"",""socket_app"",""sorting_algorithms"",""startstopvm"",""the-flex"",""yungryce""]",String
yungryce,f3e248a2-9d84-4d9d-9702-e4e47ec39dea,queued,,43,,0,,,,false,,,,,,2025-12-10T17:33:29.677756+00:00,,2025-12-10T17:33:33.185126+00:00,,[],,"[""AirBnB_clone"",""AirBnB_clone_v2"",""AirBnB_clone_v3"",""AirBnB_clone_v4"",""alx-backend"",""alx-backend-javascript"",""alx-backend-python"",""alx-backend-storage"",""alx-backend-user-data"",""alx-files_manager"",""alx-higher_level_programming"",""alx-interview"",""alx-low_level_programming"",""alx-system_engineering-devops"",""alx-zero_day"",""authentication-FA"",""azure_vmss_cluster"",""backend_assesment"",""binary_trees"",""Bincom-Assessment"",""cloudfolio"",""collabHub"",""collabHub-Laravel"",""Email_FA"",""Fix_My_Code_Challenge"",""Frontend_Apps"",""imageProcessor-FA"",""monty"",""porfolio-php"",""portfolio"",""portfolio-api"",""portfolio-old"",""printf"",""PY4E"",""Python_Apps"",""recaptcha_FA"",""RSA-Factoring-Challenge"",""simple_shell"",""socket_app"",""sorting_algorithms"",""startstopvm"",""the-flex"",""yungryce""]",,"[""AirBnB_clone"",""AirBnB_clone_v2"",""AirBnB_clone_v3"",""AirBnB_clone_v4"",""alx-backend"",""alx-backend-javascript"",""alx-backend-python"",""alx-backend-storage"",""alx-backend-user-data"",""alx-files_manager"",""alx-higher_level_programming"",""alx-interview"",""alx-low_level_programming"",""alx-system_engineering-devops"",""alx-zero_day"",""authentication-FA"",""azure_vmss_cluster"",""backend_assesment"",""binary_trees"",""Bincom-Assessment"",""cloudfolio"",""collabHub"",""collabHub-Laravel"",""Email_FA"",""Fix_My_Code_Challenge"",""Frontend_Apps"",""imageProcessor-FA"",""monty"",""porfolio-php"",""portfolio"",""portfolio-api"",""portfolio-old"",""printf"",""PY4E"",""Python_Apps"",""recaptcha_FA"",""RSA-Factoring-Challenge"",""simple_shell"",""socket_app"",""sorting_algorithms"",""startstopvm"",""the-flex"",""yungryce""]",
